edge_type_id target_query source_query delay weight_function dynamics_params model_template syn_weight
204 node_type_id=='573622646' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 1.4306640625
205 node_type_id=='314822529' * 1.0 weight_function_bkg exc_to_e5it.json static_synapse 0.53955078125
206 node_type_id=='468120757' * 1.0 weight_function_bkg exc_to_e5it.json static_synapse 0.9814453125
207 node_type_id=='480169178' * 1.0 weight_function_bkg exc_to_e5it.json static_synapse 0.5517578125
208 node_type_id=='486110216' * 1.0 weight_function_bkg exc_to_e5it.json static_synapse 0.693359375
209 node_type_id=='485574832' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 0.61767578125
210 node_type_id=='485838981' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 0.4736328125
211 node_type_id=='486111903' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 0.810546875
212 node_type_id=='488679042' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 0.5517578125
213 node_type_id=='488680917' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 0.4150390625
214 node_type_id=='488683425' * 1.0 weight_function_bkg exc_to_e5et.json static_synapse 0.1953125
215 node_type_id=='322762730' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 1.1181640625
216 node_type_id=='487445455' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 1.42578125
217 node_type_id=='487664070' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 0.5712890625
218 node_type_id=='488419491' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 1.3330078125
219 node_type_id=='488467273' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 1.10595703125
220 node_type_id=='490263438' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 1.7626953125
221 node_type_id=='505202906' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 1.65283203125
222 node_type_id=='558675748' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 0.3173828125
223 node_type_id=='562999984' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 1.9921875
224 node_type_id=='569469018' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 0.6298828125
225 node_type_id=='569477234' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 1.11328125
226 node_type_id=='605141937' * 1.0 weight_function_bkg exc_to_e5np.json static_synapse 0.4541015625
227 node_type_id=='568767467' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.2392578125
228 node_type_id=='591627904' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.8837890625
