edge_type_id target_query source_query dynamics_params model_template delay syn_weight weight_function
216 node_type_id=='487445455' * lgn_to_e5np.json static_synapse 1.0 25.03125 ConstantMultiplier_BKG
217 node_type_id=='487664070' * lgn_to_e5np.json static_synapse 1.0 11.13671875 ConstantMultiplier_BKG
218 node_type_id=='488419491' * lgn_to_e5np.json static_synapse 1.0 22.671875 ConstantMultiplier_BKG
219 node_type_id=='488467273' * lgn_to_e5np.json static_synapse 1.0 19.6875 ConstantMultiplier_BKG
220 node_type_id=='490263438' * lgn_to_e5np.json static_synapse 1.0 30.3125 ConstantMultiplier_BKG
221 node_type_id=='505202906' * lgn_to_e5np.json static_synapse 1.0 29.75 ConstantMultiplier_BKG
222 node_type_id=='558675748' * lgn_to_e5np.json static_synapse 1.0 6.34765625 ConstantMultiplier_BKG
223 node_type_id=='562999984' * lgn_to_e5np.json static_synapse 1.0 35.6875 ConstantMultiplier_BKG
224 node_type_id=='569469018' * lgn_to_e5np.json static_synapse 1.0 12.171875 ConstantMultiplier_BKG
225 node_type_id=='569477234' * lgn_to_e5np.json static_synapse 1.0 21.0 ConstantMultiplier_BKG
226 node_type_id=='605141937' * lgn_to_e5np.json static_synapse 1.0 9.75 ConstantMultiplier_BKG
227 node_type_id=='568767467' * lgn_to_vip.json static_synapse 1.0 4.515625 ConstantMultiplier_BKG
228 node_type_id=='591627904' * lgn_to_vip.json static_synapse 1.0 15.625 ConstantMultiplier_BKG
229 node_type_id=='592819166' * lgn_to_vip.json static_synapse 1.0 14.4375 ConstantMultiplier_BKG
230 node_type_id=='313861608' * lgn_to_pv.json static_synapse 1.0 49.125 ConstantMultiplier_BKG
231 node_type_id=='318556138' * lgn_to_pv.json static_synapse 1.0 4.1875 ConstantMultiplier_BKG
232 node_type_id=='320455763' * lgn_to_pv.json static_synapse 1.0 9.75 ConstantMultiplier_BKG
233 node_type_id=='469801569' * lgn_to_pv.json static_synapse 1.0 42.0 ConstantMultiplier_BKG
234 node_type_id=='478949560' * lgn_to_pv.json static_synapse 1.0 19.375 ConstantMultiplier_BKG
235 node_type_id=='480952106' * lgn_to_pv.json static_synapse 1.0 25.125 ConstantMultiplier_BKG
236 node_type_id=='481093525' * lgn_to_pv.json static_synapse 1.0 54.25 ConstantMultiplier_BKG
237 node_type_id=='484742372' * lgn_to_pv.json static_synapse 1.0 27.625 ConstantMultiplier_BKG
238 node_type_id=='487400838' * lgn_to_pv.json static_synapse 1.0 14.0 ConstantMultiplier_BKG
239 node_type_id=='487594856' * lgn_to_pv.json static_synapse 1.0 26.625 ConstantMultiplier_BKG
240 node_type_id=='488440436' * lgn_to_pv.json static_synapse 1.0 17.125 ConstantMultiplier_BKG
241 node_type_id=='515305346' * lgn_to_pv.json static_synapse 1.0 16.0625 ConstantMultiplier_BKG
242 node_type_id=='313862134' * lgn_to_sst.json static_synapse 1.0 17.609375 ConstantMultiplier_BKG
243 node_type_id=='328015342' * lgn_to_sst.json static_synapse 1.0 20.1875 ConstantMultiplier_BKG
244 node_type_id=='328031983' * lgn_to_sst.json static_synapse 1.0 17.625 ConstantMultiplier_BKG
245 node_type_id=='329224678' * lgn_to_sst.json static_synapse 1.0 38.5625 ConstantMultiplier_BKG
246 node_type_id=='329254830' * lgn_to_sst.json static_synapse 1.0 35.875 ConstantMultiplier_BKG
247 node_type_id=='464212183' * lgn_to_sst.json static_synapse 1.0 17.25 ConstantMultiplier_BKG
248 node_type_id=='473011949' * lgn_to_sst.json static_synapse 1.0 33.25 ConstantMultiplier_BKG
249 node_type_id=='473593847' * lgn_to_sst.json static_synapse 1.0 33.25 ConstantMultiplier_BKG
250 node_type_id=='475057898' * lgn_to_sst.json static_synapse 1.0 15.5 ConstantMultiplier_BKG
251 node_type_id=='475542907' * lgn_to_sst.json static_synapse 1.0 36.875 ConstantMultiplier_BKG
252 node_type_id=='475580568' * lgn_to_sst.json static_synapse 1.0 19.75 ConstantMultiplier_BKG
253 node_type_id=='482690728' * lgn_to_sst.json static_synapse 1.0 14.09375 ConstantMultiplier_BKG
254 node_type_id=='485058595' * lgn_to_sst.json static_synapse 1.0 12.234375 ConstantMultiplier_BKG
255 node_type_id=='485455285' * lgn_to_sst.json static_synapse 1.0 50.625 ConstantMultiplier_BKG
256 node_type_id=='486352114' * lgn_to_sst.json static_synapse 1.0 21.5 ConstantMultiplier_BKG
257 node_type_id=='490173806' * lgn_to_sst.json static_synapse 1.0 24.0625 ConstantMultiplier_BKG
258 node_type_id=='491029832' * lgn_to_sst.json static_synapse 1.0 23.5 ConstantMultiplier_BKG
259 node_type_id=='491030723' * lgn_to_sst.json static_synapse 1.0 26.75 ConstantMultiplier_BKG
260 node_type_id=='497560724' * lgn_to_sst.json static_synapse 1.0 54.3125 ConstantMultiplier_BKG
261 node_type_id=='501730497' * lgn_to_sst.json static_synapse 1.0 11.171875 ConstantMultiplier_BKG
262 node_type_id=='526785742' * lgn_to_sst.json static_synapse 1.0 29.96875 ConstantMultiplier_BKG
263 node_type_id=='575637715' * lgn_to_sst.json static_synapse 1.0 35.8125 ConstantMultiplier_BKG
264 node_type_id=='466632464' * lgn_to_e6.json static_synapse 1.0 15.953125 ConstantMultiplier_BKG
265 node_type_id=='471789504' * lgn_to_e6.json static_synapse 1.0 17.84375 ConstantMultiplier_BKG
266 node_type_id=='471800189' * lgn_to_e6.json static_synapse 1.0 35.40625 ConstantMultiplier_BKG
267 node_type_id=='471819401' * lgn_to_e6.json static_synapse 1.0 23.46875 ConstantMultiplier_BKG
268 node_type_id=='485287944' * lgn_to_e6.json static_synapse 1.0 24.03125 ConstantMultiplier_BKG
269 node_type_id=='485905411' * lgn_to_e6.json static_synapse 1.0 23.59375 ConstantMultiplier_BKG
270 node_type_id=='485938494' * lgn_to_e6.json static_synapse 1.0 26.3125 ConstantMultiplier_BKG
271 node_type_id=='488426904' * lgn_to_e6.json static_synapse 1.0 28.9375 ConstantMultiplier_BKG
272 node_type_id=='488430487' * lgn_to_e6.json static_synapse 1.0 38.25 ConstantMultiplier_BKG
273 node_type_id=='488432250' * lgn_to_e6.json static_synapse 1.0 4.265625 ConstantMultiplier_BKG
274 node_type_id=='488448839' * lgn_to_e6.json static_synapse 1.0 10.171875 ConstantMultiplier_BKG
275 node_type_id=='488676149' * lgn_to_e6.json static_synapse 1.0 14.5 ConstantMultiplier_BKG
276 node_type_id=='490259231' * lgn_to_e6.json static_synapse 1.0 19.859375 ConstantMultiplier_BKG
277 node_type_id=='490264167' * lgn_to_e6.json static_synapse 1.0 17.4375 ConstantMultiplier_BKG
278 node_type_id=='490485142' * lgn_to_e6.json static_synapse 1.0 31.375 ConstantMultiplier_BKG
279 node_type_id=='490718897' * lgn_to_e6.json static_synapse 1.0 33.46875 ConstantMultiplier_BKG
280 node_type_id=='501562903' * lgn_to_e6.json static_synapse 1.0 26.421875 ConstantMultiplier_BKG
281 node_type_id=='501566512' * lgn_to_e6.json static_synapse 1.0 25.0625 ConstantMultiplier_BKG
282 node_type_id=='503286448' * lgn_to_e6.json static_synapse 1.0 32.0625 ConstantMultiplier_BKG
283 node_type_id=='503814817' * lgn_to_e6.json static_synapse 1.0 28.90625 ConstantMultiplier_BKG
284 node_type_id=='507914933' * lgn_to_e6.json static_synapse 1.0 14.6875 ConstantMultiplier_BKG
285 node_type_id=='508980706' * lgn_to_e6.json static_synapse 1.0 39.875 ConstantMultiplier_BKG
286 node_type_id=='539742766' * lgn_to_e6.json static_synapse 1.0 22.734375 ConstantMultiplier_BKG
287 node_type_id=='565880475' * lgn_to_vip.json static_synapse 1.0 15.0 ConstantMultiplier_BKG
288 node_type_id=='582917630' * lgn_to_vip.json static_synapse 1.0 18.125 ConstantMultiplier_BKG
289 node_type_id=='585080288' * lgn_to_vip.json static_synapse 1.0 7.44921875 ConstantMultiplier_BKG
290 node_type_id=='592816620' * lgn_to_vip.json static_synapse 1.0 10.6875 ConstantMultiplier_BKG
291 node_type_id=='471087830' * lgn_to_pv.json static_synapse 1.0 63.375 ConstantMultiplier_BKG
292 node_type_id=='478058328' * lgn_to_pv.json static_synapse 1.0 42.375 ConstantMultiplier_BKG
293 node_type_id=='571396942' * lgn_to_pv.json static_synapse 1.0 55.3125 ConstantMultiplier_BKG
294 node_type_id=='581404810' * lgn_to_pv.json static_synapse 1.0 32.5625 ConstantMultiplier_BKG
295 node_type_id=='473564515' * lgn_to_sst.json static_synapse 1.0 44.75 ConstantMultiplier_BKG
296 node_type_id=='475512108' * lgn_to_sst.json static_synapse 1.0 63.75 ConstantMultiplier_BKG
297 node_type_id=='476104386' * lgn_to_sst.json static_synapse 1.0 36.625 ConstantMultiplier_BKG
298 node_type_id=='502382506' * lgn_to_sst.json static_synapse 1.0 31.75 ConstantMultiplier_BKG
299 node_type_id=='534141324' * lgn_to_sst.json static_synapse 1.0 70.75 ConstantMultiplier_BKG
300 node_type_id=='547325858' * lgn_to_sst.json static_synapse 1.0 33.9375 ConstantMultiplier_BKG
